#,This,file,was,produced,by,the,NASA,Exoplanet,Archive,,http://exoplanetarchive.ipac.caltech.edu,
#,Sun,Sep,19,09:21:02,2021,,,,,,,
#,,,,,,,,,,,,
#,User,ID:,,,,,,,,,clebersilva,
#,,,,,,,,,,,,
#,User,preference:,archive,defaults,,,,,,,,
#,,,,,,,,,,,,
#,COLUMN,kepid:,,,,,,,,,,KepID
#,COLUMN,tce_plnt_num:,,,Planet,Number,,,,,,
#,COLUMN,tcet_period:,,,,Orbital,Period,[days],,,,
#,COLUMN,tcet_period_err:,Orbital,Period,Unc.,[days],,,,,,
#,COLUMN,tcet_time0bk:,,,Transit,Epoch,[BKJD],,,,,
#,COLUMN,tcet_time0bk_err:,Transit,Epoch,Unc.,[BKJD],,,,,,
#,COLUMN,tcet_duration:,,Transit,Duration,[hrs],,,,,,
#,COLUMN,tcet_duration_err:,Transit,Duration,Unc.,[hrs],,,,,,
#,COLUMN,av_training_set:,Autovetter,Training,Set,Label,,,,,,
#,,,,,,,,,,,,
rowid,kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_duration,tce_duration_err,av_training_set,,,
66,2854698,1,8.187360,1.354950000e-05,138061,1.255450000e-03,3.0190,2.2550000e-01,PC,,,
67,2854698,2,76.051000,5.606470000e-04,161706,5.866820000e-03,6.6910,9.4920000e-01,PC,,,
68,2854914,1,25.934100,8.085560000e-05,149761,2.601290000e-03,4.7790,3.3310000e-01,PC,,,
69,2854914,2,83.446300,3.875830000e-04,158682,3.991040000e-03,6.6210,7.0400000e-01,PC,,,
70,2987660,1,0.508591,5.445560000e-05,131570,1.385390000e-02,1.4890,1.6260000e+01,UNK,,,
71,2987660,2,0.904939,1.383000000e-05,132327,6.082800000e-03,5.1930,1.9030000e+01,NTP,,,
72,2988145,1,1.233580,0.000000000e+00,132362,0.000000000e+00,4.5000,0.0000000e+00,AFP,,,
73,2988145,2,1.233550,1.180370000e-05,131563,4.313320000e-03,4.3600,5.4620000e+00,AFP,,,
74,1575977,1,2.540430,1.318960000e-05,132810,1.866730000e-03,4.9180,2.4330000e-01,UNK,,,
75,2992648,1,1.077360,9.225400000e-06,131895,2.749990000e-03,2.3670,1.3960000e+00,UNK,,,
76,2992648,2,3.232790,7.175350000e-05,133681,2.370790000e-02,5.2940,3.6420000e-01,AFP,,,
77,2992648,3,3.232130,3.935470000e-05,132619,7.308940000e-03,6.2820,2.6900000e+00,AFP,,,
78,2855603,2,0.758263,9.466910000e-06,131955,2.372250000e-03,2.3440,2.9500000e+00,AFP,,,
